0.075781,0.028906,0.061979,0.17161,0.13151,0.042719,0.086079,0.24439,0.011951,0.0010235,0.0036913,0.031319,1.7656,0.75781,1.6953,3.3594,14,11,15,13
0.077865,0.028906,0.060417,0.17943,0.13225,0.042719,0.084361,0.24835,0.011822,0.0010235,0.0035861,0.030503,1.8438,0.75781,1.6641,3.5078,15,12,14,13
0.085677,0.030729,0.0625,0.19245,0.13988,0.044194,0.08589,0.25839,0.012647,0.0010436,0.0035906,0.030755,2.0078,0.78125,1.6094,3.6484,16,13,15,14
0.089844,0.032552,0.061198,0.21276,0.14196,0.045308,0.084517,0.28189,0.012496,0.0010274,0.0035151,0.035374,2.125,0.78125,1.5313,3.8672,16,14,15,15
0.097917,0.033333,0.061719,0.24531,0.14911,0.045644,0.084613,0.33354,0.013081,0.0010057,0.0034657,0.052834,2.2422,0.79688,1.5547,4.2031,16,13,15,16
0.098698,0.034375,0.061458,0.2487,0.14921,0.046351,0.084529,0.3343,0.012954,0.0010001,0.0034842,0.051623,2.4609,0.80469,1.5469,5.0391,16,12,14,16
0.10078,0.034115,0.060937,0.27969,0.14975,0.046329,0.084433,0.37556,0.012693,0.0010165,0.0035333,0.064989,2.4922,0.82813,1.5391,5.8516,16,12,14,16
0.10286,0.033854,0.074219,0.29219,0.15019,0.046175,0.11145,0.38201,0.012388,0.0010201,0.0071506,0.062646,2.4688,0.83594,1.8984,6.3984,17,11,14,16
0.10469,0.034115,0.086979,0.29401,0.1509,0.046285,0.13455,0.38214,0.012218,0.0010123,0.010901,0.061643,2.4688,0.82031,1.875,6.7031,17,11,14,16
0.10573,0.034115,0.086458,0.30312,0.15106,0.046285,0.13431,0.38594,0.012042,0.0010123,0.010927,0.059033,2.5156,0.84375,2.1875,6.9375,17,11,14,16
0.11354,0.035677,0.089583,0.30651,0.15739,0.04707,0.13593,0.38652,0.01229,0.00097523,0.010813,0.057363,2.7031,0.875,2.2188,6.9922,17,11,13,17
0.11302,0.035417,0.090104,0.30781,0.15734,0.047005,0.13617,0.38706,0.012395,0.00098807,0.010783,0.056967,2.9297,0.91406,2.2422,6.9453,17,11,14,16
